Count,Name,AN,AN-ANTA,AN-SL,FLOOR,HND,L.TOT,N°,N00,N01,OFFICE,TIP.COM,TIPO_PARETE,L.TOT.,L1,L2,L3,L4,L5,LV.0,LV.0_MANO,LV.0_NOTE,LV.1,LV.1_MANO,LV.1_NOTE,LV.2,LV.2_MANO,LV.2_NOTE,LV.3,LV.3_MANO,LV.3_NOTE,LV.4,LV.4_MANO,LV.4_NOTE,LV.5,LV.5_MANO,LV.5_NOTE,LV.6,LV.6_MANO,LV.6_NOTE,TAGLI
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL3,HB,S2G-41,898.0275,420.0000,867.0275,,,,H,SX,.,T006,I,.,MR-POD,DX,.,,,,,,,,,,L,DX,.,2
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL5,HA,S2G-41,1766.2437,505.9937,760.9984,1182.4984,1332.4984,1482.4984,H,SX,.,T006-SUP,I,.,FORI M6 PASSO 381,I,.,FORO DIAM 20 PASSANTE,I,.,FORO DIAM 20 PASSANTE,I,.,FORO DIAM 20 PASSANTE,I,.,H,DX,.,5
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-02,,,.,.,.,EL5,HA,S2G-41,3324.5031,137.7547,831.2500,2493.2500,,,H,SX,.,FORI M6 PASSO 381,I,.,T012-SUP,I,.,T012-SUP,I,.,,,,,,,H,DX,.,3
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL4,HA,S2G-41,1766.2437,243.2411,283.7411,433.7411,583.7411,1260.2500,H,SX,.,FORI M6 PASSO 381,I,.,FORO DIAM 20 PASSANTE,I,.,FORO DIAM 20 PASSANTE,I,.,FORO DIAM 20 PASSANTE,I,.,T006-SUP,I,.,H,DX,.,5
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL4,HA,S2G-41,2445.7584,298.4996,1631.9996,1842.4996,2012.9996,,L,SX,.,FORI M6 PASSO 381,I,.,FORO DIAM 20 PASSANTE,I,.,FORO DIAM 20 PASSANTE,I,.,FORO DIAM 20 PASSANTE,I,.,,,,H,DX,.,4
1,PF-CODIFICA-BLOCCO-LINEARE-R01,,,,14-CON-01,,,.,.,.,EL4,HA,S2G-41,3324.5000,519.7411,831.2500,2493.2500,,,H,SX,.,FORI M6 PASSO 381,I,.,T012-SUP,I,.,T012-SUP,I,.,,,,,,,H,DX,.,3
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-CON-01,DX,.,V150,.,.,EL2,MR-POD,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-CON-02,SX,.,V152,.,.,EL1,M1,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-CON-02,SX,.,V150,.,.,EL1,MR-POD,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-CON-01,.,.,V149,.,.,EL2,M1+IRR,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,2864,.,.,14-CON-01,.,.,V149,.,.,EL2,M1+IRR,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,.,2864,.,14-HDL-02,SX,1000,P101-SW,H MANIGLIA DA TERRA: 965,.,EL10,HG,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF-CODIFICA-BLOCCO VERTICALI-R01,.,2864,.,14-HDL-02,SX,.,V076,.,.,EL10,CSP-C,2G(1SW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
